Index;Nom;Annee_de_naissance;Taille;Poids;Attaque (hauteur maximale à laquelle la joueuse peut attaquer);Block (hauteur maximale à laquelle la joueusue peut bloquer);Poste;Nationalité
118;Yomira Villacorta;1996;164;61;265;250;Libero;Perou
119;Dayana Rojas;1997;160;55;178;180;Pointue;Perou
120;Coraima Gomez;1996;179;70;300;285;Pointue;Perou
121;Ilaria Bonvicini;1997;160;52;261;243;Pointue;Italie
122;Carlotta Cambi;1996;177;66;302;292;Passeuse;Italie
123;Sofia D'odorico;1997;187;78;312;302;Pointue;Italie
124;Alessia Orro;1998;180;74;308;231;Passeuse;Italie
125;Sara Bonifacio;1996;188;76;320;300;Centrale;Italie
126;Anna Danesi;1996;195;75;312;246;Centrale;Italie
127;Anastasia Guerra;1996;187;80;314;239;Pointue;Italie
128;Chiara De Bortoli;1997;180;68;302;286;Libero;Italie
129;Paola Ogechi Egonu;1998;190;70;336;256;Receptionneuse/attaquante;Italie
130;Beatrice Berti;1996;193;87;304;288;Centrale;Italie
131;Anna Nicoletti;1996;193;86;306;290;Receptionneuse/attaquante;Italie
132;Elisa Zanette;1996;193;86;304;288;Receptionneuse/attaquante;Italie
133;Melis Yilmaz;1997;165;52;260;259;Libero;Turquie
134;Cansu Ozbay;1996;182;75;285;284;Passeuse;Turquie
135;Ayca Aykac;1996;176;54;280;279;Libero;Turquie
136;Rida Erlalelitepe;1996;183;70;293;290;Pointue;Turquie
137;Ada Germen;1997;182;62;285;283;Pointue;Turquie
138;Zehra Gunes;1999;194;82;309;255;Centrale;Turquie
139;Humay Topaloglu;1996;180;63;295;293;Pointue;Turquie
140;Yagmur Mislina Kilic;1996;189;66;283;280;Pointue;Turquie
141;Cemre Janset Erkul;1997;184;65;298;295;Centrale;Turquie
142;Arelya Karasoy;1996;181;73;287;280;Passeuse;Turquie
143;Arelya Karasoy;1996;181;73;287;280;Passeuse;Turquie
144;Su Zent;1996;184;70;305;303;Centrale;Turquie
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
